# wvl[m], pitch, AOI, Azimuth, Transm_Pol-1, Transm_Pol-2, m11, m12, m13, m14, m21, m22, m23, m24, m31, m32, m33, m34, m41, m42, m43, m44
2.100000000000000011e-07 1.750000000000000000e+02 3.700000000000000000e+01 0.000000000000000000e+00 1.992942260744768538e-04 1.868029199691345545e-05 1.028223857900464056e-01 -8.519874604195191992e-02 9.234186039026461121e-05 5.278984746979788889e-05 -8.519876861617280139e-02 1.028223064132233050e-01 -9.376111644460269779e-05 -8.067178504011907991e-06 8.532752068512646241e-05 -5.844288956231455753e-05 8.546560649048776451e-03 5.692596547214223701e-02 -1.365321407621566033e-05 -3.992572917584667134e-05 -5.692592920272190882e-02 8.546493749020707062e-03
2.100000000000000011e-07 1.750000000000000000e+02 3.700000000000000000e+01 2.000000000000000000e+00 1.998479814496536026e-04 2.100700299251977293e-05 1.041811520671895031e-01 -8.436241192177400261e-02 -1.553927809018688065e-02 7.981945570690911901e-03 -8.438305078581721796e-02 1.016213581101674951e-01 1.490745231558266055e-02 1.697640526046760015e-03 1.542671312961450998e-02 -1.478106610983304960e-02 6.792527041127088307e-03 5.835135320766667716e-02 7.982131670893628794e-03 1.775243051264038070e-03 -5.834906929462112951e-02 9.352236775342748221e-03
2.100000000000000011e-07 1.750000000000000000e+02 3.700000000000000000e+01 4.000000000000000000e+00 2.016933163236315628e-04 2.805909581082358310e-05 1.083782240497741939e-01 -8.190629329468054887e-02 -3.112647733661723023e-02 1.627459362063301065e-02 -8.189015067761114264e-02 9.812441788813287824e-02 2.932579389955973850e-02 4.590401102583606570e-03 3.123470062058462948e-02 -2.935715124565749928e-02 1.213592954540414041e-03 6.257611336399027113e-02 1.614798963705755055e-02 4.677151284063802913e-03 -6.253687850935088499e-02 1.146731134557344919e-02
2.100000000000000011e-07 1.750000000000000000e+02 3.700000000000000000e+01 6.000000000000000000e+00 2.061459308857632744e-04 4.089129594625788219e-05 1.165317729180896933e-01 -7.795349648062066539e-02 -4.754529690089841221e-02 2.525731782472415837e-02 -7.789894740823033459e-02 9.309680812373782866e-02 4.363801288998304939e-02 1.006842988162619072e-02 4.763312673851022999e-02 -4.375429579990937345e-02 -7.832591709818828574e-03 6.998246918931672056e-02 2.526013072908835089e-02 9.985622392494453159e-03 -6.999534784755986894e-02 1.560230605934955980e-02
2.100000000000000011e-07 1.750000000000000000e+02 3.700000000000000000e+01 8.000000000000000000e+00 2.184411208108913384e-04 6.306277767129259690e-05 1.327903036888800070e-01 -7.329467720848685530e-02 -6.628894614632527271e-02 3.604699748848220336e-02 -7.320757863085029793e-02 8.883837645299437480e-02 5.990575503207309221e-02 2.111723442567886924e-02 6.638749565193904911e-02 -6.004908335846356054e-02 -2.138389081521656007e-02 8.313652036205908258e-02 3.604262710032359041e-02 2.101201564972467878e-02 -8.316128153410219659e-02 2.256794314504860857e-02
2.100000000000000011e-07 1.750000000000000000e+02 3.700000000000000000e+01 1.000000000000000000e+01 2.655729079825551345e-04 1.134143529711087846e-04 1.787749077281035048e-01 -7.177584693417625450e-02 -8.878406689075615810e-02 4.619572650134314701e-02 -7.179511118230286204e-02 9.911021739066488978e-02 9.414903399723315025e-02 5.709379953433370986e-02 8.877984619900650132e-02 -9.410463509182329100e-02 -4.078530728225278346e-02 1.189738509281376977e-01 4.617389742017648929e-02 5.714275470742288116e-02 -1.189418697951516030e-01 3.887937430661612265e-02
2.100000000000000011e-07 1.750000000000000000e+02 3.700000000000000000e+01 1.200000000000000000e+01 1.736423747670756918e-04 1.078397644248639932e-04 1.327800394517764937e-01 -3.104024014579091079e-02 -6.004864750103937332e-02 3.876207200820847715e-02 -3.107560444963787874e-02 7.940624559615211409e-02 6.039887921767182755e-02 5.070523461060359727e-02 6.003745553544404673e-02 -6.032138898494260326e-02 -3.637655654022831780e-02 1.010013678511661045e-01 3.875107149874976176e-02 5.077576956573406908e-02 -1.009617039558172030e-01 1.699721086178395887e-02
2.100000000000000011e-07 1.750000000000000000e+02 3.700000000000000000e+01 1.400000000000000000e+01 1.224249123713367575e-04 1.128884826920089967e-04 1.110014367864986945e-01 -4.498500376206082674e-03 -4.782534753212595163e-02 3.745565025458354180e-02 -4.417325398855920238e-03 7.046993490786274128e-02 3.952928109876036739e-02 4.584571772855324662e-02 4.789133979917505751e-02 -3.964139486973491944e-02 -3.779586719468815137e-02 8.890728611319394237e-02 3.738091647829958758e-02 4.575672030388649308e-02 -8.892167950424316458e-02 2.735550841092642804e-03
2.100000000000000011e-07 1.750000000000000000e+02 3.700000000000000000e+01 1.600000000000000000e+01 8.914111946107661623e-05 1.214331887678846253e-04 9.933157760715446982e-02 1.523273287906092011e-02 -4.069997728463160824e-02 3.573021191497648824e-02 1.528709155976767931e-02 6.780803675517706186e-02 2.460437178634347979e-02 4.161706588969642240e-02 4.079969553703457347e-02 -2.460780300354138000e-02 -3.978199026874521677e-02 7.860060051942191484e-02 3.559300522788209215e-02 4.159509944951388788e-02 -7.854996024651472730e-02 -8.258536959456906634e-03
2.100000000000000011e-07 1.750000000000000000e+02 3.700000000000000000e+01 1.800000000000000000e+01 6.627455679521503280e-05 1.309880467052505478e-04 9.305221407775202125e-02 3.052648302298644964e-02 -3.554010138802021768e-02 3.278026860775742207e-02 3.053785630484934926e-02 6.891301964458365625e-02 1.359749682989687923e-02 3.725410089471258707e-02 3.561091072631328985e-02 -1.354094178387238966e-02 -4.102879788085128654e-02 6.921431329694108237e-02 3.269271099139808845e-02 3.726537732500923711e-02 -6.916681424957768498e-02 -1.688965285930452143e-02
2.100000000000000011e-07 1.750000000000000000e+02 3.700000000000000000e+01 2.000000000000000000e+01 4.999375078466936610e-05 1.403361738482974584e-04 8.978194841835511475e-02 4.261609824692252219e-02 -3.086960903755670005e-02 2.882134845061343903e-02 4.260863459792101071e-02 7.202620104044400728e-02 5.831909582321615979e-03 3.247729175848663996e-02 3.083187793354330922e-02 -5.858657565811952600e-03 -4.099102126270519342e-02 6.080362281671598812e-02 2.887272552473296033e-02 3.248227006169664838e-02 -6.082533445824382656e-02 -2.323528872792187880e-02
2.100000000000000011e-07 1.750000000000000000e+02 3.700000000000000000e+01 2.200000000000000000e+01 3.829726286599894952e-05 1.485283213469710715e-04 8.812888985998477975e-02 5.199791480884725925e-02 -2.570903608420180980e-02 2.392676338543816075e-02 5.202498478165994145e-02 7.616539301538378937e-02 9.254859524538694426e-04 2.709333802061940008e-02 2.562255328268046861e-02 -1.083884625676202057e-03 -4.012334407965999217e-02 5.361838520238081801e-02 2.396066377824125973e-02 2.703543575387938949e-02 -5.366273206797683715e-02 -2.815996005494269053e-02
