# wvl[m], pitch, AOI, Azimuth, Transm_Pol-1, Transm_Pol-2, m11, m12, m13, m14, m21, m22, m23, m24, m31, m32, m33, m34, m41, m42, m43, m44
2.100000000000000011e-07 1.750000000000000000e+02 4.700000000000000000e+01 0.000000000000000000e+00 1.490622766838627415e-04 6.560788660147231145e-06 8.596490786804503181e-02 -7.871665592718349314e-02 8.433765116743716659e-05 1.148025155902409994e-05 -7.871667949723569480e-02 8.596484482295159435e-02 -8.456146074589313130e-05 1.244037925374274917e-05 5.756005908889629674e-05 -5.632219856071576225e-05 1.403216235176162931e-03 3.452067996049597992e-02 -1.485810356898865041e-05 -2.055484595974206997e-05 -3.452067737115536300e-02 1.403157819153014012e-03
2.100000000000000011e-07 1.750000000000000000e+02 4.700000000000000000e+01 2.000000000000000000e+00 1.488077976532191783e-04 7.884515087288691541e-06 8.655555138046333585e-02 -7.784486814639771102e-02 -1.219568170078355086e-02 8.289596599749137276e-03 -7.785824736079102748e-02 8.466113928000995603e-02 9.864822345475324217e-03 -3.416338992207230106e-03 1.212553878149884995e-02 -9.778619657712575922e-03 5.411136027838457001e-04 3.557671146287830904e-02 8.266812434529395223e-03 -3.358795058229243832e-03 -3.557688916165246268e-02 2.435478449213811149e-03
2.100000000000000011e-07 1.750000000000000000e+02 4.700000000000000000e+01 4.000000000000000000e+00 1.481786373070273315e-04 1.186648411887750835e-05 8.840761546300920926e-02 -7.529771800992976494e-02 -2.419340998344331889e-02 1.666847434010322940e-02 -7.529566978475731032e-02 8.093665336388285170e-02 1.913355661335202837e-02 -5.966913172846242432e-03 2.426872309594946958e-02 -1.916519598320775078e-02 -2.358919247085665850e-03 3.871824756516731997e-02 1.656794048496889118e-02 -5.890734553649370174e-03 -3.868674978380975266e-02 5.111976173218763832e-03
2.100000000000000011e-07 1.750000000000000000e+02 4.700000000000000000e+01 6.000000000000000000e+00 1.470543592259796427e-04 1.858047526450828528e-05 9.149532722054010137e-02 -7.096792222787876026e-02 -3.605452298569569725e-02 2.515818552388475113e-02 -7.091639555449250065e-02 7.499586759950066517e-02 2.756687927536689148e-02 -6.848953184826895614e-03 3.613406078633474294e-02 -2.767775839488205089e-02 -6.843148435955292985e-03 4.353009705823941700e-02 2.518935101527498138e-02 -6.934948438607459187e-03 -4.353450476918373918e-02 9.656230139019120889e-03
2.100000000000000011e-07 1.750000000000000000e+02 4.700000000000000000e+01 8.000000000000000000e+00 1.459032859919663985e-04 2.850373539312838595e-05 9.634101148031988526e-02 -6.485055109709968180e-02 -4.767994116831399121e-02 3.401679643745172260e-02 -6.477601839849941867e-02 6.773401432994965998e-02 3.501377082768163118e-02 -5.248714177032244577e-03 4.776847398781775694e-02 -3.513766769917069099e-02 -1.286285306431885975e-02 5.027122151495726221e-02 3.403459329257355059e-02 -5.340306618823354931e-03 -5.027362070767228686e-02 1.574404689149606906e-02
2.100000000000000011e-07 1.750000000000000000e+02 4.700000000000000000e+01 1.000000000000000000e+01 1.455599792469703703e-04 4.241478557536657544e-05 1.038357219333078951e-01 -5.697656097064129899e-02 -5.928661376497514762e-02 4.350080684662845087e-02 -5.697873026613965719e-02 5.994912366045578034e-02 4.220169799140800065e-02 2.903570032222399849e-05 5.929931407891245176e-02 -4.219875448970122206e-02 -2.015863465379851005e-02 5.880143790747911769e-02 4.348064989274214726e-02 4.553292799160459802e-05 -5.878651706470648663e-02 2.372796102899872930e-02
2.100000000000000011e-07 1.750000000000000000e+02 4.700000000000000000e+01 1.200000000000000000e+01 1.483351155474756761e-04 6.191530722068783340e-05 1.161406131059632002e-01 -4.773759496617172721e-02 -7.125932486474281791e-02 5.399418505329871276e-02 -4.776254777992298278e-02 5.267068793486723299e-02 5.098849977946495748e-02 1.112353958336611930e-02 7.128426389935065000e-02 -5.095118245260057965e-02 -2.932265912092784851e-02 6.958523972911132005e-02 5.393917057947213850e-02 1.118723612112739949e-02 -6.953234191527188357e-02 3.414723910179581767e-02
2.100000000000000011e-07 1.750000000000000000e+02 4.700000000000000000e+01 1.400000000000000000e+01 1.784511723378307631e-04 9.961863293620187030e-05 1.536034850516941053e-01 -4.354644969680195044e-02 -9.200514652534444449e-02 6.776021350521813091e-02 -4.342735897272315126e-02 4.638550564364501971e-02 8.138134082414472115e-02 4.186575637201098155e-02 9.208593803027392832e-02 -8.148954379389178326e-02 -4.894821087331933246e-02 8.991490813478573985e-02 6.772688766182705100e-02 4.177889679072344792e-02 -8.993019972468986600e-02 5.826970130515737173e-02
2.100000000000000011e-07 1.750000000000000000e+02 4.700000000000000000e+01 1.600000000000000000e+01 1.096494829236074957e-04 9.117388134491197129e-05 1.109331831302255988e-01 -1.020577113044507031e-02 -4.181567934607979820e-02 4.278677182714692856e-02 -1.013278051404753986e-02 6.121020797393460222e-02 5.594258984168461180e-02 4.300191617838944325e-02 4.196809962315203868e-02 -5.593329169048751742e-02 -1.129870227556144073e-02 8.442678524028099374e-02 4.265468344748145346e-02 4.303126255754285284e-02 -8.434495527500196488e-02 3.842415197296129153e-02
2.100000000000000011e-07 1.750000000000000000e+02 4.700000000000000000e+01 1.800000000000000000e+01 7.229326740894661001e-05 1.000459786680940561e-04 9.519878932028369434e-02 1.533037060545794014e-02 -2.679040545025957940e-02 3.702595826836870690e-02 1.534647898713505966e-02 6.667741581295286157e-02 3.436329684155105951e-02 3.671433348510363265e-02 2.688118400846864139e-02 -3.430755439867542306e-02 -5.891662253012749408e-03 7.905706733772949191e-02 3.695341935168165726e-02 3.675970633527957110e-02 -7.900202393313707216e-02 2.262965359125228976e-02
