# wvl[m], pitch, AOI, Azimuth, Transm_Pol-1, Transm_Pol-2, m11, m12, m13, m14, m21, m22, m23, m24, m31, m32, m33, m34, m41, m42, m43, m44
2.100000000000000011e-07 1.750000000000000000e+02 3.800000000000000000e+01 0.000000000000000000e+00 1.893377860312479366e-04 1.584248644747170164e-05 9.809209837973485724e-02 -8.294422163299559891e-02 9.052696101600523888e-05 4.745751845740092228e-05 -8.294424381985714134e-02 9.809202160344616950e-02 -9.082600492699276099e-05 -6.791402355206305110e-06 8.120654124783663753e-05 -5.747329440719635885e-05 8.221300880272664618e-03 5.171768477076439663e-02 -1.312630847029206927e-05 -3.621825966964896729e-05 -5.171765242635133902e-02 8.221234878904314786e-03
2.100000000000000011e-07 1.750000000000000000e+02 3.800000000000000000e+01 2.000000000000000000e+00 1.896908685170296252e-04 1.797162617712286001e-05 9.927879329350565440e-02 -8.209512839518563754e-02 -1.489070545456763067e-02 7.868876926842960362e-03 -8.211482154461145766e-02 9.682984984926566729e-02 1.410787395566426988e-02 8.990809147434008358e-04 1.478334139817983998e-02 -1.398789378280775042e-02 6.580181419097677620e-03 5.303398515551988046e-02 7.865833652447890012e-03 9.723530632862516926e-04 -5.303224087708963141e-02 9.029045059736817355e-03
2.100000000000000011e-07 1.750000000000000000e+02 3.800000000000000000e+01 4.000000000000000000e+00 1.908775389752208947e-04 2.438796814230707481e-05 1.029136234533760963e-01 -7.959493943568977936e-02 -2.975488556937982976e-02 1.599845335531352095e-02 -7.958117401549436032e-02 9.314103612690427525e-02 2.764351655064936977e-02 2.881392567530314825e-03 2.985573104725436008e-02 -2.767414702126870171e-02 1.363007369580710067e-03 5.690522170631442250e-02 1.587860745562319140e-02 2.966334968640542066e-03 -5.686727707912932889e-02 1.113551133591366045e-02
2.100000000000000011e-07 1.750000000000000000e+02 3.800000000000000000e+01 6.000000000000000000e+00 1.937420571693190591e-04 3.583905966045392521e-05 1.097575962159381968e-01 -7.548989081151100122e-02 -4.517777348822501343e-02 2.467033226894594852e-02 -7.543563562553899648e-02 8.761874504488052773e-02 4.075522465421597268e-02 7.131066058256528215e-03 4.526510175321370177e-02 -4.086969472569103312e-02 -7.022743163249062399e-03 6.346359877106065583e-02 2.467621460819176965e-02 7.049608874002764869e-03 -6.347498530881524881e-02 1.511603859853257945e-02
2.100000000000000011e-07 1.750000000000000000e+02 3.800000000000000000e+01 8.000000000000000000e+00 2.014666577108100212e-04 5.465894911443516097e-05 1.224479230812843961e-01 -7.018548138458399754e-02 -6.200687189789257786e-02 3.469371463853632154e-02 -7.010071147565019589e-02 8.192391177781591094e-02 5.452446418514483167e-02 1.576868115881467983e-02 6.210479878303157286e-02 -5.466164927839412685e-02 -1.920218496586672055e-02 7.429247804681053668e-02 3.468994110537580722e-02 1.567050242094249896e-02 -7.431148721546131097e-02 2.132173321633390115e-02
2.100000000000000011e-07 1.750000000000000000e+02 3.800000000000000000e+01 1.000000000000000000e+01 2.340347171458783424e-04 9.262056327440357825e-05 1.561665822749576105e-01 -6.760694352468199497e-02 -8.685493317677714376e-02 4.911051402167773694e-02 -6.761562041879662366e-02 8.154948384721480426e-02 7.960274986006568576e-02 3.803467662098838908e-02 8.686066900676715774e-02 -7.958103208601678691e-02 -3.895983901071577160e-02 9.775196519130624484e-02 4.908841892385029659e-02 3.806468745704436746e-02 -9.772918283805023809e-02 3.565725543453406032e-02
2.100000000000000011e-07 1.750000000000000000e+02 3.800000000000000000e+01 1.200000000000000000e+01 1.827689247521306745e-04 1.052908525806280483e-04 1.377149356320311047e-01 -3.704053311707859730e-02 -6.457643136982799126e-02 4.093606448402224707e-02 -3.707833038036995044e-02 7.729440096068566912e-02 6.723253846788795896e-02 5.126099368646241938e-02 6.456846504676808096e-02 -6.714944007467188447e-02 -3.527448788956937670e-02 1.008130716669090043e-01 4.091440693946266083e-02 5.134252535685360219e-02 -1.007627773654024006e-01 2.514601402676184053e-02
2.100000000000000011e-07 1.750000000000000000e+02 3.800000000000000000e+01 1.400000000000000000e+01 1.250456152763268828e-04 1.083023676248784904e-04 1.115584506197190018e-01 -8.004572154920369664e-03 -4.835620622604046986e-02 3.846408704507652682e-02 -7.920445177945531490e-03 6.821922292256407672e-02 4.336195625205833265e-02 4.573858198671332254e-02 4.842662710445692215e-02 -4.347236751167664337e-02 -3.398895873227548992e-02 8.867608593325421174e-02 3.839284026532738953e-02 4.564833095149180980e-02 -8.869171422048385822e-02 9.350184496383528998e-03
2.100000000000000011e-07 1.750000000000000000e+02 3.800000000000000000e+01 1.600000000000000000e+01 8.923321605484933576e-05 1.162729330580626716e-04 9.824789270866661484e-02 1.292708381949582083e-02 -3.978258334530934692e-02 3.646507038088053765e-02 1.298205930399846941e-02 6.565331199902825488e-02 2.705736076931826092e-02 4.122207352424286236e-02 3.988723147054500096e-02 -2.705772965458603033e-02 -3.514135761524544987e-02 7.872191000852267473e-02 3.633097429780762777e-02 4.120455090984732199e-02 -7.866906495498222907e-02 -2.546866106195189855e-03
2.100000000000000011e-07 1.750000000000000000e+02 3.800000000000000000e+01 1.800000000000000000e+01 6.537431444408542207e-05 1.257475038119559136e-04 9.137106590415423890e-02 2.886307128569455885e-02 -3.416955818566100311e-02 3.341454383343345907e-02 2.887460397678784027e-02 6.692415269001708578e-02 1.528585038603093998e-02 3.677971823891504344e-02 3.424240857475775723e-02 -1.522961669010363013e-02 -3.629231203876053663e-02 6.967764176242539909e-02 3.332989694592272678e-02 3.679399136350081090e-02 -6.962954779171610931e-02 -1.184544885211489054e-02
