# wvl[m], pitch, AOI, Azimuth, Transm_Pol-1, Transm_Pol-2, m11, m12, m13, m14, m21, m22, m23, m24, m31, m32, m33, m34, m41, m42, m43, m44
2.170000000000000241e-07 1.750000000000000000e+02 2.300000000000000000e+01 3.000000000000000000e+01 2.022788099486187707e-04 2.786959271940409196e-04 1.968460707310207003e-01 3.127484274063108138e-02 1.690620323130712880e-04 -1.978417743314525939e-05 3.127470996686979032e-02 1.968459207601775951e-01 -1.340576557800745921e-04 -6.158360976357837120e-05 5.002888950045673302e-05 1.067199485039745061e-04 6.013539903036262124e-02 1.848078886238566088e-01 -1.864817257573843986e-04 -1.366740210707207022e-04 -1.848079413726073927e-01 6.013544463684664110e-02
2.170000000000000241e-07 1.750000000000000000e+02 2.300000000000000000e+01 3.200000000000000000e+01 2.021068945891879847e-04 2.779132301139119413e-04 1.964553813802356053e-01 3.102487122963648938e-02 1.103981575904387086e-02 -8.406269204948784574e-03 3.102822024167050871e-02 1.901927220716148892e-01 3.848496226886154170e-02 2.734991674608779066e-02 -1.099405978021084085e-02 -3.856051958827041992e-02 5.185290686665144227e-02 1.827152513434782133e-01 -8.453740411129647206e-03 2.723947098212730136e-02 -1.827339393904013898e-01 5.811553739677798730e-02
2.170000000000000241e-07 1.750000000000000000e+02 2.300000000000000000e+01 3.400000000000000000e+01 2.072393574419066522e-04 2.776197970585900275e-04 1.984358263562580049e-01 2.880424256203037089e-02 2.286353818597773938e-02 -1.692075069851541047e-02 2.893301456539392955e-02 1.742084589823431895e-01 7.223462786441611772e-02 5.485189420305912333e-02 -2.249471581595031966e-02 -7.206683579169216591e-02 2.844448040813165116e-02 1.795587217666153035e-01 -1.719319634836962915e-02 5.500461796139059778e-02 -1.795378819623260069e-01 5.267149659552747970e-02
2.170000000000000241e-07 1.750000000000000000e+02 2.300000000000000000e+01 3.600000000000000000e+01 2.134724910763467201e-04 2.743573034061887119e-04 1.996516049884055066e-01 2.491801574761337915e-02 3.487483353943689190e-02 -2.513747363369477072e-02 2.493845524533063948e-02 1.488057774027503888e-01 9.559044865022912896e-02 8.205450968102979969e-02 -3.482349741460728093e-02 -9.561850908822563944e-02 -7.435456868917642709e-03 1.714823604445669947e-01 -2.518832232757717976e-02 8.201559675248465409e-02 -1.715084353405443018e-01 4.341035992260310755e-02
2.170000000000000241e-07 1.750000000000000000e+02 2.300000000000000000e+01 3.800000000000000000e+01 2.257960099724843500e-04 2.688069430199901814e-04 2.024236209305327050e-01 1.760286458946659985e-02 4.621844361785038685e-02 -3.168077514116673238e-02 1.769978256468647884e-02 1.205969672904339957e-01 1.065181222008162037e-01 1.093123453726543987e-01 -4.609248327492328212e-02 -1.064628678031517006e-01 -5.151921484400760753e-02 1.601923553741126938e-01 -3.181002308189072314e-02 1.093505168076723960e-01 -1.601919164627126080e-01 3.030738139859624064e-02
2.170000000000000241e-07 1.750000000000000000e+02 2.300000000000000000e+01 4.000000000000000000e+01 2.400616799584458488e-04 2.602188206368257948e-04 2.047472418001823058e-01 8.249609871993315857e-03 5.794154057774902195e-02 -3.730258415234548319e-02 8.462116124182586518e-03 9.264357004345151470e-02 1.030328797298993015e-01 1.340808490659416985e-01 -5.778834910650020029e-02 -1.027729548528634046e-01 -9.781405665902209723e-02 1.425282267340338138e-01 -3.749213611214954195e-02 1.342669609257317043e-01 -1.424027042993535885e-01 1.428934340784481991e-02
2.170000000000000241e-07 1.750000000000000000e+02 2.300000000000000000e+01 4.200000000000000000e+01 2.601375639267845211e-04 2.497185170488169120e-04 2.086661906082523110e-01 -4.264150027659215601e-03 6.855813513507913459e-02 -4.158594260924451669e-02 -4.115096765301008708e-03 7.194637828847133543e-02 8.672603688412797163e-02 1.562467113591027024e-01 -6.845568853363494244e-02 -8.668105001376026630e-02 -1.409763815074386861e-01 1.199667634380332942e-01 -4.176932100663965225e-02 1.562756692730652985e-01 -1.199927493152967012e-01 -4.256652906862279373e-03
2.170000000000000241e-07 1.750000000000000000e+02 2.300000000000000000e+01 4.400000000000000000e+01 2.821689908531984942e-04 2.343269033621874148e-04 2.113836330136560082e-01 -1.958008645968027997e-02 7.672515384400653560e-02 -4.403845589366967017e-02 -1.969871006034201039e-02 6.076518572664359880e-02 5.994578249046490781e-02 1.719757547843651091e-01 -7.672146576459963618e-02 -6.020542309231616956e-02 -1.745592577274341084e-01 9.090699407300491253e-02 -4.399195527074988704e-02 1.718714773022229914e-01 -9.108152186935535022e-02 -2.394095826936629146e-02
2.170000000000000241e-07 1.750000000000000000e+02 2.300000000000000000e+01 4.600000000000000000e+01 3.080428982115914383e-04 2.166084501180144998e-04 2.147213740080133881e-01 -3.742090893090223302e-02 8.230232417037114390e-02 -4.400048907028192291e-02 -3.720648632522414317e-02 6.318442747985161811e-02 2.817746359320881869e-02 1.805361728922247888e-01 -8.225672821473814511e-02 -2.808473144350220885e-02 -1.966455878018789905e-01 5.747311043260661806e-02 -4.426678287634359249e-02 1.805949302649718924e-01 -5.749299379713314340e-02 -4.510879428071148944e-02
2.170000000000000241e-07 1.750000000000000000e+02 2.300000000000000000e+01 4.800000000000000000e+01 3.365530881003188303e-04 1.966213931428372819e-04 2.182095930240839921e-01 -5.726912911632207892e-02 8.276515164812450753e-02 -4.286577175057314226e-02 -5.725298187542780803e-02 7.856428045512721392e-02 -2.863213140889241115e-03 1.809571452128684865e-01 -8.275361178520507233e-02 2.822704366686655964e-03 -2.049801017642282064e-01 2.171356965509135123e-02 -4.290959878310165315e-02 1.809628910833752102e-01 -2.175221463342688968e-02 -6.533479547606856064e-02
2.170000000000000241e-07 1.750000000000000000e+02 2.300000000000000000e+01 5.000000000000000000e+01 3.638699305344361896e-04 1.752762652802103221e-04 2.206536061044974961e-01 -7.718476481862425465e-02 7.878897002386017756e-02 -3.922115962380796211e-02 -7.706261132433049610e-02 1.045575791299400009e-01 -2.834422432289048985e-02 1.708434618746068057e-01 -7.881228798358300147e-02 2.839874167540695077e-02 -2.004046870064409014e-01 -1.507894032969808035e-02 -3.941403656606672079e-02 1.708895457452022926e-01 1.505964733850936009e-02 -8.430872589847862586e-02
2.170000000000000241e-07 1.750000000000000000e+02 2.300000000000000000e+01 5.200000000000000000e+01 3.897637707588752368e-04 1.555648707187302882e-04 2.231838640209347080e-01 -9.584938601204699704e-02 7.101163636437336779e-02 -3.363455031879084012e-02 -9.596106316872834996e-02 1.376132474715316134e-01 -4.441296310704886258e-02 1.508264080292273934e-01 -7.091243895199252079e-02 4.413432013122645103e-02 -1.870993682764451049e-01 -5.024499041063742316e-02 -3.352522379622425303e-02 1.508371890215249034e-01 5.013945037481436912e-02 -1.015288896862298063e-01
2.170000000000000241e-07 1.750000000000000000e+02 2.300000000000000000e+01 5.400000000000000000e+01 4.114262226159694962e-04 1.381703571462228742e-04 2.249305812943498128e-01 -1.118340304970524973e-01 5.724520867632180293e-02 -2.641456909541113965e-02 -1.117413310465901061e-01 1.716727532932144917e-01 -4.739189002037586668e-02 1.219867707925492012e-01 -5.737033040155464086e-02 4.768686647622340236e-02 -1.693346485497365939e-01 -8.034467638808530376e-02 -2.653514423666008051e-02 1.219567610545975039e-01 8.042992058019200752e-02 -1.160769694448589989e-01
2.170000000000000241e-07 1.750000000000000000e+02 2.300000000000000000e+01 5.600000000000000000e+01 4.294482681893225010e-04 1.246675811500949974e-04 2.267801596404724063e-01 -1.247360329874833001e-01 4.041557459943285330e-02 -1.858962178983609992e-02 -1.247215276239933973e-01 2.010049921879046020e-01 -3.972774332302839856e-02 8.640213626684627168e-02 -4.044170101216130325e-02 3.976794177437480149e-02 -1.520486246324133928e-01 -1.040501220940685950e-01 -1.863008320771476073e-02 8.640458333119249712e-02 1.040553266328327064e-01 -1.262734617868538911e-01
2.170000000000000241e-07 1.750000000000000000e+02 2.300000000000000000e+01 5.800000000000000000e+01 4.391609235908579441e-04 1.157671783773256240e-04 2.271125861195913975e-01 -1.323537041102247069e-01 2.078969657816287855e-02 -9.504172417968251990e-03 -1.323429865759268020e-01 2.203745531859905016e-01 -2.239456859253084048e-02 4.459023106617362314e-02 -2.079788822276000884e-02 2.230006879630361954e-02 -1.394048657483477893e-01 -1.184973649367826037e-01 -9.634600069390562849e-03 4.466933217008536156e-02 1.184781042729879941e-01 -1.326668688668125873e-01
2.170000000000000241e-07 1.750000000000000000e+02 2.300000000000000000e+01 6.000000000000000000e+01 4.434769532071597365e-04 1.126170082424095043e-04 2.275897314667642002e-01 -1.354093574966191982e-01 3.551203662843879132e-04 1.930875663006131903e-04 -1.354094877096506944e-01 2.275890349847715932e-01 -1.222510601017121870e-04 -4.170723588744882802e-04 -2.122127286264348020e-04 -1.729924100454904954e-04 -1.346346431818760125e-01 -1.238335832532555941e-01 2.882618563071198269e-04 -3.517160182343524147e-04 1.238339711009285027e-01 -1.346340795278020974e-01
2.170000000000000241e-07 1.750000000000000000e+02 2.300000000000000000e+01 6.200000000000000000e+01 4.401525995103730093e-04 1.158855660621167284e-04 2.275668961735191897e-01 -1.327111103196282893e-01 -2.146754039893868093e-02 9.186116026750176106e-03 -1.327113913914179100e-01 2.209029432864531017e-01 2.232815608628398868e-02 -4.410067926413883954e-02 2.151321647244269081e-02 -2.255214941194167919e-02 -1.394919505837322049e-01 -1.188504445746037946e-01 9.074521071067771782e-03 -4.398570699552090818e-02 1.188844727971485049e-01 -1.328280845825204892e-01
2.170000000000000241e-07 1.750000000000000000e+02 2.300000000000000000e+01 6.400000000000000000e+01 4.289388324636205711e-04 1.239241637268852139e-04 2.262674108399191086e-01 -1.248317934801256995e-01 -4.076124430407884747e-02 1.834479142131247020e-02 -1.248322356286400980e-01 2.006382984430117034e-01 3.990548258706729662e-02 -8.573719638907201235e-02 4.073066629972178776e-02 -3.976527437936291931e-02 -1.511738955030995091e-01 -1.041158853604912948e-01 1.840958564741171019e-02 -8.580167218719830791e-02 1.040741992539734040e-01 -1.255448170115434914e-01
2.170000000000000241e-07 1.750000000000000000e+02 2.300000000000000000e+01 6.600000000000000000e+01 4.119662836024738542e-04 1.381423441543092783e-04 2.251401445582328908e-01 -1.120665232287923058e-01 -5.728021517800639673e-02 2.661647284432390112e-02 -1.120041467136091012e-01 1.716203895308092975e-01 4.762390752292512686e-02 -1.223235610836524018e-01 5.740096449988064259e-02 -4.798948820736687049e-02 -1.691983291959711921e-01 -8.064443272789827144e-02 2.661889741406573903e-02 -1.222377843920566948e-01 8.077518966848389048e-02 -1.156787702479727953e-01
2.170000000000000241e-07 1.750000000000000000e+02 2.300000000000000000e+01 6.800000000000000000e+01 3.900014798646585430e-04 1.556357985508611478e-04 2.233101782819950087e-01 -9.591764373091397899e-02 -7.012649113923620503e-02 3.386066795829548171e-02 -9.585409281634083012e-02 1.377688779412979125e-01 4.373375943188743259e-02 -1.513210937634134889e-01 7.021283806544309503e-02 -4.402604481145377252e-02 -1.873973115199392969e-01 -4.976715175620737702e-02 3.386169272387355711e-02 -1.512766002371440932e-01 4.990293009349795750e-02 -1.018561425455691977e-01
2.170000000000000241e-07 1.750000000000000000e+02 2.300000000000000000e+01 7.000000000000000000e+01 3.636267288805755020e-04 1.761934517750573040e-04 2.209294444332808027e-01 -7.670985869579349803e-02 -7.911752627774343294e-02 3.869024044962215275e-02 -7.655577465616411614e-02 1.050726356740400019e-01 2.835774764329924980e-02 -1.708369554295126047e-01 7.923119269830575240e-02 -2.879680579267621110e-02 -2.009355867800952933e-01 -1.556005025648172016e-02 3.876275998798545119e-02 -1.708326284873251111e-01 1.578639934746573978e-02 -8.507910159228623814e-02
2.170000000000000241e-07 1.750000000000000000e+02 2.300000000000000000e+01 7.200000000000000000e+01 3.358800258066098766e-04 1.962061314969707404e-04 2.177641802515533076e-01 -5.716362036369779243e-02 -8.281662346745545522e-02 4.262228487763825707e-02 -5.709285377923707661e-02 7.839062959500446570e-02 3.115644196152719814e-03 -1.805079009971705117e-01 8.279430277384736137e-02 -3.056679667501276121e-03 -2.046191260136059897e-01 2.132775111095934137e-02 4.276027665206291739e-02 -1.805313042411184066e-01 -2.140573684848312910e-02 -6.524561514109886162e-02
2.170000000000000241e-07 1.750000000000000000e+02 2.300000000000000000e+01 7.400000000000000000e+01 3.087055729495996495e-04 2.165204193978315344e-04 2.149565556261791022e-01 -3.772814631430235210e-02 -8.174326635241691008e-02 4.450269869604706746e-02 -3.769970380644156738e-02 6.322583561984025657e-02 -2.853752360515797101e-02 -1.809138665799703005e-01 8.176275332245178107e-02 2.842125703690069963e-02 -1.965618124547058032e-01 5.797663202528636345e-02 4.449100259091946785e-02 -1.809380968179246096e-01 -5.789197891014057767e-02 -4.483111872889492672e-02
