# wvl[m], pitch, AOI, Azimuth, Transm_Pol-1, Transm_Pol-2, m11, m12, m13, m14, m21, m22, m23, m24, m31, m32, m33, m34, m41, m42, m43, m44
2.130000000000000147e-07 1.750000000000000000e+02 3.300000000000000000e+01 3.000000000000000000e+01 5.123901103201245009e-04 1.040829567003515461e-04 2.769193300157353765e-01 -1.834113272255314120e-01 1.211524850294527940e-04 -1.483642197852999090e-04 -1.834114084744631890e-01 2.769191599926393854e-01 -1.048912008243034038e-04 2.761833807939997887e-04 -3.879234158040269307e-05 -1.417434999282668083e-04 -1.825756624319856136e-01 9.854274500446039142e-02 -7.335574381103506750e-05 1.933500675958027993e-04 -9.854285796113651519e-02 -1.825755647219370892e-01
2.130000000000000147e-07 1.750000000000000000e+02 3.300000000000000000e+01 3.200000000000000000e+01 5.097423025794653754e-04 1.057198177844552342e-04 2.764652133871403072e-01 -1.814866565728016079e-01 -2.102320836843800042e-02 1.153473545447403084e-03 -1.814815367932365031e-01 2.753492599795783757e-01 1.002577966484449919e-02 8.373701424437838062e-03 2.106451519879163833e-02 -1.015768641454790032e-02 -1.839578987186070991e-01 9.773601492898484344e-02 1.204287300366488908e-03 8.325554472615652110e-03 -9.774074093820686593e-02 -1.828419670627504101e-01
2.130000000000000147e-07 1.750000000000000000e+02 3.300000000000000000e+01 3.400000000000000000e+01 5.040282860464046681e-04 1.094821608881076661e-04 2.755885228593719094e-01 -1.772298815375679126e-01 -4.201286306643581270e-02 2.358818640715171829e-03 -1.771874426301011940e-01 2.711491508225403746e-01 1.936546164099961151e-02 1.632375762540293901e-02 4.220223528540940211e-02 -1.975066286428600951e-02 -1.882726353775333039e-01 9.333977223604142393e-02 2.158033678781826059e-03 1.632294605848408006e-02 -9.333505590098384319e-02 -1.838334687015998892e-01
2.130000000000000147e-07 1.750000000000000000e+02 3.300000000000000000e+01 3.600000000000000000e+01 4.943178493834248996e-04 1.172243486362504041e-04 2.747043866335425188e-01 -1.693901731747954886e-01 -6.179774682044879286e-02 3.132219253355135805e-03 -1.693716015385419993e-01 2.652076441394246031e-01 2.714310600469324944e-02 2.357103417657359021e-02 6.184481946375722239e-02 -2.730983932478756038e-02 -1.955901617855803076e-01 8.811435717996125849e-02 3.206551962345136064e-03 2.351182451971917109e-02 -8.813284790122836998e-02 -1.860934554519539097e-01
2.130000000000000147e-07 1.750000000000000000e+02 3.300000000000000000e+01 3.800000000000000000e+01 4.802923367931963609e-04 1.273866740863404876e-04 2.729690452994222860e-01 -1.585250109106479954e-01 -8.013110396779300759e-02 4.396312775122252284e-03 -1.585001809967654940e-01 2.574148808276480738e-01 3.220343210756128338e-02 2.764823110674291887e-02 8.017848260009041717e-02 -3.235739072780204756e-02 -2.047241947011521901e-01 8.006991732010922125e-02 4.427643309321646625e-03 2.761080760028855954e-02 -8.008455597616008503e-02 -1.891700569365530882e-01
2.130000000000000147e-07 1.750000000000000000e+02 3.300000000000000000e+01 4.000000000000000000e+01 4.610092381685371014e-04 1.403250766052133115e-04 2.701190116341081748e-01 -1.440511320242703064e-01 -9.650825151831900206e-02 5.709463431956644623e-03 -1.440242688668429138e-01 2.481009951000910096e-01 3.452831309338932203e-02 2.939035679960156147e-02 9.655513163741870353e-02 -3.462165221904670714e-02 -2.143751688642552000e-01 7.095514669475680436e-02 5.593366886754005951e-03 2.941219628575024100e-02 -7.093684800849153760e-02 -1.923571763213118013e-01
2.130000000000000147e-07 1.750000000000000000e+02 3.300000000000000000e+01 4.200000000000000000e+01 4.375270410663600570e-04 1.547006252994246993e-04 2.660283106599177771e-01 -1.270454554380882894e-01 -1.104784286642010033e-01 6.852338056487560641e-03 -1.269922147635081100e-01 2.378966301984785092e-01 3.393078266029991852e-02 2.754985529827591942e-02 1.105432134673866029e-01 -3.413842671634653714e-02 -2.231971351526295944e-01 6.012890580107697891e-02 6.794176196233212700e-03 2.753879984965606001e-02 -6.012737010693539053e-02 -1.950655051135304907e-01
2.130000000000000147e-07 1.750000000000000000e+02 3.300000000000000000e+01 4.400000000000000000e+01 4.103050280696374577e-04 1.714754668191522703e-04 2.613354475313607872e-01 -1.072820949163050958e-01 -1.203014202655995069e-01 7.721359279892019839e-03 -1.072926686915058048e-01 2.287105595286104964e-01 3.058425541328988959e-02 2.285863459626930050e-02 1.202795334510192993e-01 -3.058025194954708953e-02 -2.307948353923530982e-01 5.020433700239120001e-02 7.913031943607682500e-03 2.281431962998661106e-02 -5.025431458778054777e-02 -1.981699873830790049e-01
2.130000000000000147e-07 1.750000000000000000e+02 3.300000000000000000e+01 4.600000000000000000e+01 3.751725911465586842e-04 1.881329825929608070e-04 2.530365240901853996e-01 -8.401807939055888630e-02 -1.248789892828631037e-01 9.086537791309204359e-03 -8.391742872357260685e-02 2.181816936328077050e-01 2.413059160090265040e-02 1.215383404150226047e-02 1.249494436002565045e-01 -2.449097149080830052e-02 -2.337211669476539910e-01 4.096449215966643104e-02 9.048010733360452654e-03 1.212832508043546961e-02 -4.096352474762329776e-02 -1.988664818290089009e-01
2.130000000000000147e-07 1.750000000000000000e+02 3.300000000000000000e+01 4.800000000000000000e+01 3.363589438046700854e-04 2.045252541890190876e-04 2.429648556236697066e-01 -5.921961388891602840e-02 -1.238694521226381962e-01 9.716858648078688029e-03 -5.917447008649662221e-02 2.081198513582102061e-01 1.636528024761182976e-02 -2.612062595036521856e-03 1.238835750202095937e-01 -1.652383941037815010e-02 -2.324680161144077883e-01 3.346078694066253328e-02 9.811376585169997652e-03 -2.636808460603246983e-03 -3.348641729627360730e-02 -1.976230505184732034e-01
2.130000000000000147e-07 1.750000000000000000e+02 3.300000000000000000e+01 5.000000000000000000e+01 2.906554321104095348e-04 2.165362652889592319e-04 2.278302046709070050e-01 -3.329428504755545248e-02 -1.129213404258170989e-01 9.937642683706207972e-03 -3.322586611654405886e-02 1.963507456276805951e-01 7.286299437315443828e-03 -2.110354446640158935e-02 1.129344334738489053e-01 -7.525386885593336739e-03 -2.229254162306683051e-01 3.082078020673427107e-02 1.001752660323198922e-02 -2.112745934539020029e-02 -3.083025527535470864e-02 -1.914460329659483928e-01
2.130000000000000147e-07 1.750000000000000000e+02 3.300000000000000000e+01 5.200000000000000000e+01 2.374430356716248031e-04 2.181107739572604330e-04 2.046344966184170944e-01 -8.684040306099524709e-03 -8.924491849908526564e-02 9.272518718122912257e-03 -8.695765314379225175e-03 1.791629817611427034e-01 -1.806376565846686943e-03 -4.149950449716539869e-02 8.923529823583270515e-02 1.894115120976085087e-03 -2.010949246556590908e-01 3.562880331740019002e-02 9.353761365541848893e-03 -4.149313701507251900e-02 -3.565744421988512741e-02 -1.756234285993369115e-01
2.130000000000000147e-07 1.750000000000000000e+02 3.300000000000000000e+01 5.400000000000000000e+01 1.834623228609799617e-04 2.003183764892316383e-04 1.723940587553698112e-01 7.571729126796947207e-03 -4.930555089855039042e-02 6.258661243894181325e-03 7.580656501445363384e-03 1.546353447113928137e-01 -9.981393416594985801e-03 -5.690272863975619211e-02 4.930670084639977163e-02 9.900621141206676634e-03 -1.646305365612900917e-01 4.921470413526157772e-02 6.238763547024794853e-03 -5.691564961573877812e-02 -4.919723354640360286e-02 -1.468718333547985866e-01
2.130000000000000147e-07 1.750000000000000000e+02 3.300000000000000000e+01 5.600000000000000000e+01 1.397074182927401898e-04 1.303882673203229405e-04 1.213268191287031061e-01 -4.186156998017796782e-03 1.393425655643281032e-02 -3.738602302498113955e-03 -4.174359115770687190e-03 1.112812842749092007e-01 -1.465243859765570991e-02 -4.374630914507451895e-02 -1.394989576759900034e-02 1.468752695834503984e-02 -9.852898568613520369e-02 6.903222146183893293e-02 -3.693196097487080193e-03 -4.373566861163807884e-02 -6.903651935826451980e-02 -8.848345867970851264e-02
2.130000000000000147e-07 1.750000000000000000e+02 3.300000000000000000e+01 5.800000000000000000e+01 1.564753458796634201e-04 8.623099463717498329e-05 1.090235418253259064e-01 -3.155372022572688895e-02 5.082582448380852831e-03 -4.371003997109009875e-04 -3.155567738415558654e-02 1.088286072856186060e-01 -1.574946846989040998e-03 -3.753167305861739109e-03 -5.072510914714487007e-03 1.477394250267357982e-03 -9.614927265743046514e-02 4.053809013270606720e-02 -4.120910514148471066e-04 -3.776309512797434119e-03 -4.053567891588809313e-02 -9.595436285691948120e-02
2.130000000000000147e-07 1.750000000000000000e+02 3.300000000000000000e+01 6.000000000000000000e+01 1.571775287137473060e-04 8.696946970993044265e-05 1.096706844884628995e-01 -3.153741777399726720e-02 1.444000763796979086e-04 -5.176795058102489928e-05 -3.153737657822804769e-02 1.096703343713266998e-01 3.455981338082094741e-05 2.224206627614965914e-04 -1.465283741969394024e-04 -1.318644338924558982e-06 -9.841159944151807448e-02 3.671791591582219266e-02 -6.825798848027596496e-05 2.307856316403552883e-04 -3.671789124360391038e-02 -9.841125263292639647e-02
2.130000000000000147e-07 1.750000000000000000e+02 3.300000000000000000e+01 6.200000000000000000e+01 1.556245989156927691e-04 8.607923847402365039e-05 1.085732180250616047e-01 -3.123973397944108943e-02 -5.162203520110703395e-03 4.980598531273748662e-04 -3.123684621120006999e-02 1.083892301703796024e-01 1.372087323249723996e-03 3.310438805200322833e-03 5.174171805666763317e-03 -1.520519100292061021e-03 -9.570344978603018138e-02 4.062802061390601710e-02 5.520623242586616703e-04 3.272624062633513846e-03 -4.063178195728302244e-02 -9.551952305126590326e-02
