# wvl[m], pitch, AOI, Azimuth, Transm_Pol-1, Transm_Pol-2, m11, m12, m13, m14, m21, m22, m23, m24, m31, m32, m33, m34, m41, m42, m43, m44
2.150000000000000062e-07 1.750000000000000000e+02 3.200000000000000000e+01 3.000000000000000000e+01 4.570084402397427310e-04 7.584180796876129418e-05 2.367092644221260866e-01 -1.693265104979697899e-01 1.567671978873241877e-04 -1.053429304447692005e-04 -1.693265690339904039e-01 2.367091229581529954e-01 -1.075325013017733940e-04 1.988937492294444984e-04 -5.716250016626827171e-05 -1.040792269801645942e-04 -1.300347522820483881e-01 1.022288054648485961e-01 -1.121701041297192025e-04 1.430596840048522025e-04 -1.022289061098640983e-01 -1.300346719317476973e-01
2.150000000000000062e-07 1.750000000000000000e+02 3.200000000000000000e+01 3.200000000000000000e+01 4.543629939289947021e-04 7.731409614702966764e-05 2.361881097458848888e-01 -1.674972800429632980e-01 -2.000575644258242858e-02 -1.547938500252978098e-04 -1.674918373051144105e-01 2.346747551577003099e-01 1.251021575549693919e-02 1.240965224470720954e-02 2.005145153895947913e-02 -1.262537663905038965e-02 -1.318036323721205050e-01 1.009935303800378048e-01 -1.296190752823541965e-04 1.236640973580263939e-02 -1.009987989912410067e-01 -1.302902967424864056e-01
2.150000000000000062e-07 1.750000000000000000e+02 3.200000000000000000e+01 3.400000000000000000e+01 4.491029668690786126e-04 8.057357711620306861e-05 2.352994026557140017e-01 -1.637126398263465121e-01 -3.978293267274801703e-02 -3.508124743253591971e-04 -1.636677098342325110e-01 2.293302951794642108e-01 2.408274965989614866e-02 2.441171386628306073e-02 3.996467455854132295e-02 -2.435386919921117901e-02 -1.370011045221637136e-01 9.599967331763786804e-02 -5.820527424472629607e-04 2.444399428544328026e-02 -9.599258257989798371e-02 -1.310321703559773898e-01
2.150000000000000062e-07 1.750000000000000000e+02 3.200000000000000000e+01 3.600000000000000000e+01 4.397771206613695417e-04 8.757572791436946070e-05 2.342671422167195983e-01 -1.564592169861734050e-01 -5.851131874016685108e-02 -8.839369062456081672e-04 -1.564367277967020076e-01 2.215191125605721068e-01 3.346208403333784248e-02 3.548623794594851777e-02 5.857161681082326959e-02 -3.361123704333723178e-02 -1.459806443790795105e-01 8.926265783749580407e-02 -8.707729444451736689e-04 3.544440254841804694e-02 -8.927914872366658761e-02 -1.332326452262302119e-01
2.150000000000000062e-07 1.750000000000000000e+02 3.200000000000000000e+01 3.800000000000000000e+01 4.269597686385762114e-04 9.663500201379338712e-05 2.325976828069274138e-01 -1.467409141518626892e-01 -7.636767723133591756e-02 -9.080985757027142113e-04 -1.467087825071680951e-01 2.116043737725709917e-01 3.972186691130050185e-02 4.364823646414100339e-02 7.642877618908400228e-02 -3.984839527762319700e-02 -1.571580015110700113e-01 7.931434408037991990e-02 -9.581024790522238432e-04 4.364091741171004929e-02 -7.931895970152370856e-02 -1.361647175739285065e-01
2.150000000000000062e-07 1.750000000000000000e+02 3.200000000000000000e+01 4.000000000000000000e+01 4.090818747523371842e-04 1.082447321244092497e-04 2.298131623124853029e-01 -1.336415606105643972e-01 -9.248104460172074104e-02 -9.320336004341109315e-04 -1.336060467757881065e-01 1.999772940532497933e-01 4.252766999008091714e-02 4.951227560705207670e-02 9.253070138207955542e-02 -4.258858905751636281e-02 -1.690738218100077128e-01 6.754699187445074859e-02 -1.082860273207524038e-03 4.955573851772349103e-02 -6.751736240981108528e-02 -1.392379893992163886e-01
2.150000000000000062e-07 1.750000000000000000e+02 3.200000000000000000e+01 4.200000000000000000e+01 3.879130870394360267e-04 1.215004652694685948e-04 2.262979282811913018e-01 -1.183490782709794992e-01 -1.067392643339764996e-01 -1.105140178710147924e-03 -1.182915423090317025e-01 1.880138728481930976e-01 4.178744100727060234e-02 5.203113014275628084e-02 1.068021685638231993e-01 -4.194713559291048804e-02 -1.804777372101538102e-01 5.370924993316911200e-02 -1.184913996370152078e-03 5.203346895181545917e-02 -5.370868484259058717e-02 -1.421937250158888111e-01
2.150000000000000062e-07 1.750000000000000000e+02 3.200000000000000000e+01 4.400000000000000000e+01 3.633060475300472613e-04 1.375077521264238690e-04 2.224776408150339058e-01 -1.003068847062772023e-01 -1.176826156431177023e-01 -1.374374289466986010e-03 -1.003166299743246948e-01 1.777404545859652962e-01 3.754951624262382187e-02 5.143474989514844331e-02 1.176760699819991013e-01 -3.758895202664507690e-02 -1.908904066188291115e-01 3.974070214146387114e-02 -1.214229367855555958e-03 5.138691684118557035e-02 -3.979732565512811293e-02 -1.461532572851733103e-01
2.150000000000000062e-07 1.750000000000000000e+02 3.200000000000000000e+01 4.600000000000000000e+01 3.323896115134895228e-04 1.541574775856209610e-04 2.161399078908020077e-01 -7.917646179258797101e-02 -1.250429527550021014e-01 -1.030314665593848105e-03 -7.907071576949523117e-02 1.675595945746516102e-01 3.020269313653308960e-02 4.554672089877061236e-02 1.251087493128587025e-01 -3.046527041791792165e-02 -1.971744185336473942e-01 2.563320557324653970e-02 -1.156043712382859995e-03 4.555554593445312883e-02 -2.562288305323110957e-02 -1.485942214043692866e-01
2.150000000000000062e-07 1.750000000000000000e+02 3.200000000000000000e+01 4.800000000000000000e+01 2.994704301023072080e-04 1.718640111774968416e-04 2.093819591287854054e-01 -5.668688653291963780e-02 -1.286120611158519944e-01 -1.307118666571810894e-03 -5.664329725642883867e-02 1.599209864306476991e-01 2.136837811637800136e-02 3.552132486183980087e-02 1.286316628817071039e-01 -2.150136207183942980e-02 -2.000592273780023023e-01 1.203048402275327944e-02 -1.267323431074079965e-03 3.551061127376541060e-02 -1.205782327769211980e-02 -1.505982814429916994e-01
2.150000000000000062e-07 1.750000000000000000e+02 3.200000000000000000e+01 5.000000000000000000e+01 2.614187628733888324e-04 1.890530894820420093e-04 2.001141243199758002e-01 -3.214716587909839662e-02 -1.256445615925776138e-01 -1.349315107316711093e-03 -3.206760793839461693e-02 1.538701071727207048e-01 1.147879872015595062e-02 2.108090953281675090e-02 1.256646801250831114e-01 -1.169779871887905928e-02 -1.971702336986773940e-01 1.586899027532737063e-03 -1.368748800215855094e-03 2.108169507152897124e-02 -1.593094531005210049e-03 -1.509262854020035904e-01
2.150000000000000062e-07 1.750000000000000000e+02 3.200000000000000000e+01 5.200000000000000000e+01 2.174576647293051303e-04 2.030350784961398283e-04 1.867964372323782096e-01 -6.406977926341136942e-03 -1.151062629625172057e-01 -1.332282705216679061e-03 -6.418244528487423994e-03 1.470708523556505110e-01 2.198500140097662137e-03 2.675386608004288059e-03 1.151070365723162042e-01 -2.168790424743819844e-03 -1.866358742954357108e-01 -3.550984186223178889e-03 -1.205149477618923989e-03 2.672629376288742937e-03 3.507369736266753926e-03 -1.469103149583851908e-01
2.150000000000000062e-07 1.750000000000000000e+02 3.200000000000000000e+01 5.400000000000000000e+01 1.719456168431479930e-04 2.116727993884715030e-04 1.704156720021555993e-01 1.764809566943716101e-02 -9.552307977279445028e-02 -1.432189860060815913e-03 1.766810007354337880e-02 1.398881954278723139e-01 -5.408534082152965418e-03 -1.781960564485319046e-02 9.551767217732440307e-02 5.323272741309829914e-03 -1.694000341302372981e-01 -1.500982439817655049e-03 -1.541998524307183977e-03 -1.782545579014419013e-02 1.539808803080542103e-03 -1.388725888009808007e-01
2.150000000000000062e-07 1.750000000000000000e+02 3.200000000000000000e+01 5.600000000000000000e+01 1.268183155383089734e-04 2.111172981006173024e-04 1.501218978417533934e-01 3.744832665640324132e-02 -6.663194029860791678e-02 -2.454289295490845024e-03 3.746542796447065171e-02 1.292980977901501960e-01 -1.043171294030015989e-02 -3.556975687129221297e-02 6.662356913898526134e-02 1.037953990682550023e-02 -1.446369435404251946e-01 9.974352999847713869e-03 -2.420313180108460156e-03 -3.556701093538820746e-02 -9.975842556608011807e-03 -1.238131505642252050e-01
