# wvl[m], pitch, AOI, Azimuth, Transm_Pol-1, Transm_Pol-2, m11, m12, m13, m14, m21, m22, m23, m24, m31, m32, m33, m34, m41, m42, m43, m44
2.110000000000000233e-07 1.750000000000000000e+02 2.600000000000000000e+01 3.000000000000000000e+01 5.661105697684058356e-04 1.612925058250330365e-04 3.048916376446030863e-01 -1.696798468484863875e-01 6.770561924680597635e-05 -2.249623059469051990e-04 -1.696800091627868046e-01 3.048913632654290939e-01 -1.255989697761370112e-04 3.891368943451885059e-04 1.823651959908964940e-06 -1.308757007808777949e-04 -2.525026622463821813e-01 2.024829672733673147e-02 1.028623460056882076e-05 3.082064519907813877e-04 -2.024844325945312010e-02 -2.525024965166691171e-01
2.110000000000000233e-07 1.750000000000000000e+02 2.600000000000000000e+01 3.200000000000000000e+01 5.629902546759336371e-04 1.634177850149233838e-04 3.044745674725998774e-01 -1.674811514004860002e-01 -2.202956058704598832e-02 1.517424738238528107e-03 -1.674734716691763103e-01 3.035894350416267762e-01 6.448008382198354427e-03 -2.542415708549159142e-03 2.207845850107040958e-02 -6.626682657171839574e-03 -2.533589505938875219e-01 2.049413590294583976e-02 1.648681053805069055e-03 -2.588460584832545999e-03 -2.049851036600507104e-02 -2.524738622897277907e-01
2.110000000000000233e-07 1.750000000000000000e+02 2.600000000000000000e+01 3.400000000000000000e+01 5.558112362497104634e-04 1.684011814108810979e-04 3.035542705713116796e-01 -1.623832645516816997e-01 -4.430879901308885233e-02 3.134569319825026949e-03 -1.623417356314537097e-01 2.999522107946702154e-01 1.252646657180467998e-02 -5.511205246092223779e-03 4.446895001307819839e-02 -1.306088131811388928e-02 -2.554870890913554238e-01 1.835820206071846900e-02 3.015486389634402815e-03 -5.494051861956237952e-03 -1.834339100739389855e-02 -2.518852991729977897e-01
2.110000000000000233e-07 1.750000000000000000e+02 2.600000000000000000e+01 3.600000000000000000e+01 5.440219691210164020e-04 1.778882578345209473e-04 3.025893053164402935e-01 -1.534652664754871110e-01 -6.504914243846893207e-02 4.251157211251789698e-03 -1.534401337327183923e-01 2.948255979227529799e-01 1.765549745165484116e-02 -8.322335430576990878e-03 6.509573160147209825e-02 -1.784525791191093891e-02 -2.595730134553418944e-01 1.732305216697901940e-02 4.440987656125373190e-03 -8.380811525118676136e-03 -1.734247488988903060e-02 -2.518093710371291927e-01
2.110000000000000233e-07 1.750000000000000000e+02 2.600000000000000000e+01 3.800000000000000000e+01 5.271503754698545277e-04 1.908599854426335375e-04 3.009546730412197002e-01 -1.409564121733919984e-01 -8.360424812351942292e-02 5.716806492676440934e-03 -1.409330952310144935e-01 2.879521122749383877e-01 2.089098859603876965e-02 -1.385416453829596030e-02 8.363261968981855476e-02 -2.101889691147531061e-02 -2.646002788220552238e-01 1.489853710522449047e-02 5.874513255823526903e-03 -1.389784348738085963e-02 -1.491919095823671972e-02 -2.515977553662259725e-01
2.110000000000000233e-07 1.750000000000000000e+02 2.600000000000000000e+01 4.000000000000000000e+01 5.048563073201844161e-04 2.071719548039712376e-04 2.984472710830433084e-01 -1.247746576625284043e-01 -1.000567848088508016e-01 7.177212931225016024e-03 -1.247589835986882972e-01 2.794321202159689155e-01 2.217879689188217984e-02 -2.073116009740582841e-02 1.000797620316689063e-01 -2.227477311825018860e-02 -2.697754847811559276e-01 1.342262687806865078e-02 7.129166126044604590e-03 -2.072258958985370020e-02 -1.341025041433632943e-02 -2.507603444018562944e-01
2.110000000000000233e-07 1.750000000000000000e+02 2.600000000000000000e+01 4.200000000000000000e+01 4.785364123580476648e-04 2.249392098970214580e-04 2.948624245744648764e-01 -1.062954900174877954e-01 -1.140042353234729938e-01 8.340284978769586105e-03 -1.062382260487086949e-01 2.692524504386615836e-01 2.152966124920132132e-02 -3.007897099145041830e-02 1.140580072569374048e-01 -2.180384767990469971e-02 -2.738173506737843210e-01 1.168211960314874918e-02 8.334718344048697158e-03 -3.008377569127099888e-02 -1.166576319113381971e-02 -2.482074457824695879e-01
2.110000000000000233e-07 1.750000000000000000e+02 2.600000000000000000e+01 4.400000000000000000e+01 4.503189914831223902e-04 2.451531995027719573e-04 2.915077793326312228e-01 -8.599542180174046813e-02 -1.241030238725697038e-01 9.146961961547227585e-03 -8.599104716814820470e-02 2.599028227344465924e-01 1.895846367134587998e-02 -3.977316904780074658e-02 1.240907058583897993e-01 -1.891138006875857022e-02 -2.774563965979944813e-01 1.245617775747925003e-02 9.352889649341828218e-03 -3.980502986510892766e-02 -1.250722069587868052e-02 -2.458514815205234960e-01
2.110000000000000233e-07 1.750000000000000000e+02 2.600000000000000000e+01 4.600000000000000000e+01 4.160903146569861042e-04 2.659806291341858535e-04 2.858906348074370940e-01 -6.291860645217191295e-02 -1.292608768576860023e-01 1.022313965429762044e-02 -6.278627288433118181e-02 2.486249600583179953e-01 1.358384832829826958e-02 -5.389843713509886308e-02 1.293112597306355915e-01 -1.404984718507137041e-02 -2.779149514542118005e-01 1.578292139339450978e-02 1.039807445938059974e-02 -5.393328499420507738e-02 -1.577815803957096849e-02 -2.406495119741196009e-01
2.110000000000000233e-07 1.750000000000000000e+02 2.600000000000000000e+01 4.800000000000000000e+01 3.818521506493979204e-04 2.878063496538158178e-04 2.806879482238984758e-01 -3.941938004008105345e-02 -1.312822617612688925e-01 1.084493972062064958e-02 -3.938049264136195271e-02 2.377427744381397090e-01 7.053674128472901816e-03 -6.970390139096144244e-02 1.312827753692207000e-01 -7.134794598679786160e-03 -2.767433450682862950e-01 2.183058771070285967e-02 1.097917046597601982e-02 -6.971762485866962733e-02 -2.185384816361736135e-02 -2.337981951883454923e-01
2.110000000000000233e-07 1.750000000000000000e+02 2.600000000000000000e+01 5.000000000000000000e+01 3.466958967187844590e-04 3.073672695074052301e-04 2.741511502560325941e-01 -1.648462861805879975e-02 -1.275111942998609915e-01 1.146342941361454953e-02 -1.635917772076206020e-02 2.260827290495673880e-01 -1.917131490669479960e-03 -8.744794021804921935e-02 1.274996962285125102e-01 1.636028920006193932e-03 -2.712787030421442980e-01 3.402876053929407285e-02 1.176701458785220020e-02 -8.747720466430539132e-02 -3.405715599883753220e-02 -2.232104539264087861e-01
2.110000000000000233e-07 1.750000000000000000e+02 2.600000000000000000e+01 5.200000000000000000e+01 3.192440859381496577e-04 3.201486130269862412e-04 2.680020110259226929e-01 3.791333232736059946e-04 -1.187363971199874996e-01 1.529116912194619995e-02 3.581220516278155186e-04 2.080507500559685974e-01 -1.536632935062160962e-02 -1.182018269425291063e-01 1.187340838470679061e-01 1.546755250867115974e-02 -2.601325413318583135e-01 6.068262308382643688e-02 1.530962696546689025e-02 -1.181886893079361067e-01 -6.071285845077058901e-02 -2.001812916681807997e-01
2.110000000000000233e-07 1.750000000000000000e+02 2.600000000000000000e+01 5.400000000000000000e+01 2.177279141670712768e-04 3.252897643684987076e-04 2.276063366155141043e-01 4.508464392900957129e-02 -1.265072199797775965e-01 1.880944693538737916e-02 4.516540745518347194e-02 1.648777606330648071e-01 -3.498077931472687307e-02 -8.393884980183508038e-02 1.264875841121151090e-01 3.470511223808229323e-02 -2.026309665122774939e-01 8.455473302934557456e-02 1.874764396185425036e-02 -8.400983097040251590e-02 -8.447047143320929319e-02 -1.399024991149133978e-01
2.110000000000000233e-07 1.750000000000000000e+02 2.600000000000000000e+01 5.600000000000000000e+01 1.476262564183267699e-04 3.544174295883870444e-04 2.104320516803440955e-01 8.667670175415603806e-02 -1.022138356340217963e-01 1.540747147184429004e-02 8.669455582793378356e-02 1.722786937379446048e-01 -3.968928694018779291e-02 -4.842001209804940726e-02 1.022054197841630041e-01 3.960953913315951730e-02 -1.630239399962739033e-01 9.156400278631640632e-02 1.536278476363342992e-02 -4.845333936717575313e-02 -9.153886093094634746e-02 -1.248705945151759034e-01
2.110000000000000233e-07 1.750000000000000000e+02 2.600000000000000000e+01 5.800000000000000000e+01 1.019439170190127909e-04 3.783477434854218432e-04 2.013146710972796016e-01 1.158549064888477059e-01 -5.726385186241111230e-02 8.627688725592472935e-03 1.159182099830090990e-01 1.899203044597503054e-01 -2.637522933671988118e-02 -2.057445833105882999e-02 5.712806948088464121e-02 2.603410850715314959e-02 -1.344782740882806138e-01 9.084650248462063094e-02 8.677405840904253362e-03 -2.065222032357500945e-02 -9.083359237855352653e-02 -1.230840906130494933e-01
2.110000000000000233e-07 1.750000000000000000e+02 2.600000000000000000e+01 6.000000000000000000e+01 8.434009138487840623e-05 3.883719521643437208e-04 1.981376679971645072e-01 1.274352213228711062e-01 3.426544776992693176e-04 1.494906817411662122e-04 1.274354743224900000e-01 1.981365955459361006e-01 3.314994895283938058e-04 4.897096517416161436e-04 -2.643699457543111043e-04 -1.886438236248370902e-04 -1.220383063734716000e-01 9.014070206439007971e-02 7.338867718485853173e-05 4.996386429380388029e-04 -9.014055349211387569e-02 -1.220372748362164028e-01
2.110000000000000233e-07 1.750000000000000000e+02 2.600000000000000000e+01 6.200000000000000000e+01 1.003339186435369892e-04 3.785763108125476169e-04 2.007356430607526998e-01 1.166255429169739954e-01 5.683762732792237149e-02 -9.081634769497751863e-03 1.165485709444148976e-01 1.894965250218139940e-01 2.591760954665154118e-02 1.957557338139218062e-02 -5.702369363644817224e-02 -2.629166547279827848e-02 -1.329089945545043894e-01 9.097218417242339261e-02 -8.901584460334174137e-03 1.953514156547231026e-02 -9.096307891747321128e-02 -1.216701437812726938e-01
2.110000000000000233e-07 1.750000000000000000e+02 2.600000000000000000e+01 6.400000000000000000e+01 1.477504185572114730e-04 3.548515474685114916e-04 2.106660552403664122e-01 8.680661997517374884e-02 1.018791295945021963e-01 -1.529398855506220942e-02 8.690282511245056574e-02 1.730622415269817138e-01 3.940773126261890025e-02 4.775067238356040661e-02 -1.017720254762786991e-01 -3.916769290661493985e-02 -1.633309900737978937e-01 9.153119200358672547e-02 -1.545982607601063992e-02 4.777317330585317823e-02 -9.154730947082290182e-02 -1.257273028797241954e-01
2.110000000000000233e-07 1.750000000000000000e+02 2.600000000000000000e+01 6.600000000000000000e+01 2.174957480204179358e-04 3.264846090594189878e-04 2.280098441723764913e-01 4.568277677419922689e-02 1.271500436367903053e-01 -1.878141698068165957e-02 4.565737156104091726e-02 1.647056415065135115e-01 3.514748068038420215e-02 8.427929497025352101e-02 -1.271686546647224081e-01 -3.517828662136533724e-02 -2.029252067182487074e-01 8.448321184144623464e-02 -1.871707795952282094e-02 8.428020897686727686e-02 -8.446801999624402313e-02 -1.396210109730721127e-01
2.110000000000000233e-07 1.750000000000000000e+02 2.600000000000000000e+01 6.800000000000000000e+01 3.194709919631570985e-04 3.204953560050211037e-04 2.682424565090932855e-01 4.293630873271336856e-04 1.181927490797732988e-01 -1.515755916892650920e-02 3.670882352369426158e-04 2.081281369043025131e-01 1.535990456358750020e-02 1.191697960923493033e-01 -1.182108686663164987e-01 -1.546534968446149939e-02 -2.605042020873427067e-01 6.022247679394836239e-02 -1.501724552096493984e-02 1.191563658682164989e-01 -6.021389829638112284e-02 -2.003899153511672915e-01
2.110000000000000233e-07 1.750000000000000000e+02 2.600000000000000000e+01 7.000000000000000000e+01 3.459197892133670008e-04 3.066879202764326816e-04 2.735410942873844897e-01 -1.644407230239144924e-02 1.273644555952402890e-01 -1.207174129534012950e-02 -1.646921197703691067e-02 2.254048746175514872e-01 2.019288386563761195e-03 8.744536110785011696e-02 -1.273730557711159894e-01 -2.030887060185393011e-03 -2.704599368104707025e-01 3.546948939267015322e-02 -1.194607555825008029e-02 8.744036123759377221e-02 -3.543925601702096334e-02 -2.223237331998600130e-01
2.110000000000000233e-07 1.750000000000000000e+02 2.600000000000000000e+01 7.200000000000000000e+01 3.816537314946147450e-04 2.881226073457019191e-04 2.807373403501631226e-01 -3.920365278801964115e-02 1.308526083704860954e-01 -1.087257756810637924e-02 -3.913214483653063708e-02 2.381220264011744137e-01 -6.846599337914913153e-03 6.941368160699366852e-02 -1.308631867695765894e-01 7.059267997079816427e-03 -2.767957998310773271e-01 2.225613167947421145e-02 -1.100209258557655924e-02 6.943272632190690408e-02 -2.226037298352100124e-02 -2.341805460879035072e-01
2.110000000000000233e-07 1.750000000000000000e+02 2.600000000000000000e+01 7.400000000000000000e+01 4.167860878223693757e-04 2.666583685621788441e-04 2.864663438166110132e-01 -6.292616530902894745e-02 1.299074539239624126e-01 -1.007668296918839967e-02 -6.292895035398193837e-02 2.489181320021502108e-01 -1.399568489593792063e-02 5.412684077236785268e-02 -1.298951062424230085e-01 1.392569979639536951e-02 -2.785334821354166768e-01 1.495628880839489083e-02 -1.021748436665827035e-02 5.414165181013259193e-02 -1.499814832934786950e-02 -2.409852937571788090e-01
