# wvl[m], pitch, AOI, Azimuth, Transm_Pol-1, Transm_Pol-2, m11, m12, m13, m14, m21, m22, m23, m24, m31, m32, m33, m34, m41, m42, m43, m44
2.170000000000000241e-07 1.750000000000000000e+02 3.200000000000000000e+01 3.000000000000000000e+01 3.942572590695477323e-04 7.350180341880182362e-05 2.077936605653502022e-01 -1.424899176114527988e-01 1.639619393568763120e-04 -6.969454919363749390e-05 -1.424899519101074097e-01 2.077935492061218081e-01 -8.455632102999640427e-05 1.310086941041041118e-04 -6.582736162338850643e-05 -6.803450992848097088e-05 -9.129433889386635859e-02 1.205825045346981955e-01 -1.327899849808450070e-04 9.954862490420942278e-05 -1.205825875865152996e-01 -9.129427311487493812e-02
2.170000000000000241e-07 1.750000000000000000e+02 3.200000000000000000e+01 3.200000000000000000e+01 3.919356644820116715e-04 7.452205481890136025e-05 2.072155619537900118e-01 -1.410053618507962070e-01 -1.623498513729867976e-02 -1.715988009956100069e-03 -1.410001915198690892e-01 2.053245421864975107e-01 1.452363407765291936e-02 1.735534861694896028e-02 1.628013945742157881e-02 -1.462177537652220929e-02 -9.335942714573895740e-02 1.188466309009366950e-01 -1.713031972770129915e-03 1.731490165464786082e-02 -1.188524877589804962e-01 -9.146842351666174820e-02
2.170000000000000241e-07 1.750000000000000000e+02 3.200000000000000000e+01 3.400000000000000000e+01 3.879301215332573967e-04 7.657396439740076454e-05 2.063476950069726978e-01 -1.383144460882176074e-01 -3.221636590869612210e-02 -3.492703791194086155e-03 -1.382707637086590946e-01 1.989353104545429907e-01 2.784045607587996157e-02 3.415914785649049740e-02 3.237726753979978250e-02 -2.799643307006016019e-02 -9.943516852732858791e-02 1.130288745166621034e-01 -3.726614939441074900e-03 3.420847866045553798e-02 -1.130214250647014057e-01 -9.202291643309434832e-02
2.170000000000000241e-07 1.750000000000000000e+02 3.200000000000000000e+01 3.600000000000000000e+01 3.803066527261636065e-04 8.138105221663658535e-05 2.050965677452145086e-01 -1.327923919552433940e-01 -4.747693262619216703e-02 -5.488158776153551077e-03 -1.327705208963073091e-01 1.892818261652988998e-01 3.839042475596623344e-02 4.973108194068300708e-02 4.753495652784842790e-02 -3.850000632461179212e-02 -1.097233318823247067e-01 1.043298412108377010e-01 -5.514985798536171241e-03 4.970475710691601295e-02 -1.043437999145986061e-01 -9.390861158600323499e-02
2.170000000000000241e-07 1.750000000000000000e+02 3.200000000000000000e+01 3.800000000000000000e+01 3.703099949426327114e-04 8.750702220910634038e-05 2.033770834005788064e-01 -1.256302007500411100e-01 -6.246972189599579728e-02 -6.985918275222723767e-03 -1.255958552251000004e-01 1.772983925955352036e-01 4.533953090835399907e-02 6.254556158428307977e-02 6.252771763253589521e-02 -4.540618988028544134e-02 -1.225375977481563960e-01 9.198125915163263278e-02 -7.083941441623557017e-03 6.256617894845219185e-02 -9.197473421001917115e-02 -9.645893037585541452e-02
2.170000000000000241e-07 1.750000000000000000e+02 3.200000000000000000e+01 4.000000000000000000e+01 3.558657606738365505e-04 9.553900274989553416e-05 2.005285535024551036e-01 -1.156455412843505060e-01 -7.617057924630682431e-02 -8.438509655799862619e-03 -1.156050559365918023e-01 1.634787443625010939e-01 4.808517805368400094e-02 7.274399435153167115e-02 7.621421717993807909e-02 -4.809231388436099874e-02 -1.361533771397868964e-01 7.695867788584642710e-02 -8.597729259871754459e-03 7.280360340509356432e-02 -7.691992362582023013e-02 -9.910361038814644030e-02
2.170000000000000241e-07 1.750000000000000000e+02 3.200000000000000000e+01 4.200000000000000000e+01 3.389809440931493712e-04 1.049035875671511649e-04 1.971878240292294082e-01 -1.039847106526327059e-01 -8.870188674295520492e-02 -9.962921996561957538e-03 -1.039292163095971999e-01 1.497277098289291897e-01 4.658790874213621785e-02 7.946945979775082991e-02 8.875694111242612983e-02 -4.669576301289762865e-02 -1.492401022834259072e-01 5.939381745696700743e-02 -1.005126746334233066e-02 7.947875216018394917e-02 -5.939626849077286191e-02 -1.017800205907460065e-01
2.170000000000000241e-07 1.750000000000000000e+02 3.200000000000000000e+01 4.400000000000000000e+01 3.188154183787877938e-04 1.165773764145844712e-04 1.934155206584513009e-01 -8.984066032148212144e-02 -9.890870969235338039e-02 -1.136566261831510952e-02 -8.985243460926714554e-02 1.379861544369568871e-01 4.090440402956607713e-02 8.237851154712136359e-02 9.891228784745943747e-02 -4.097282409155143801e-02 -1.608743908014325097e-01 4.062520156589637110e-02 -1.124076039813320070e-02 8.233165467475603294e-02 -4.068539311694691768e-02 -1.054450585119317968e-01
2.170000000000000241e-07 1.750000000000000000e+02 3.200000000000000000e+01 4.600000000000000000e+01 2.936197867171407689e-04 1.292127106592780295e-04 1.878358314822030917e-01 -7.303492523516876000e-02 -1.067028714518147986e-01 -1.206013740952934996e-02 -7.293524327401748608e-02 1.276692611746098882e-01 3.195316241529624207e-02 8.010215021043884387e-02 1.067524425170098962e-01 -3.210692215144782952e-02 -1.683341062113536124e-01 2.112126448482030960e-02 -1.222359602237899946e-02 8.013148694053701115e-02 -2.110394436719301853e-02 -1.081676209716564002e-01
2.170000000000000241e-07 1.750000000000000000e+02 3.200000000000000000e+01 4.800000000000000000e+01 2.668532636911505676e-04 1.430113680056693305e-04 1.820750873398044034e-01 -5.501456390591973056e-02 -1.120058739110530999e-01 -1.317074497387345049e-02 -5.497853679192710175e-02 1.209833749774388012e-01 2.135898771466989907e-02 7.304387041325002827e-02 1.120250375134503040e-01 -2.146131906076557960e-02 -1.717349196930260113e-01 1.445353377288024956e-03 -1.315819204270998917e-02 7.304100135740435040e-02 -1.475691941625576018e-03 -1.106432254868199017e-01
2.170000000000000241e-07 1.750000000000000000e+02 3.200000000000000000e+01 5.000000000000000000e+01 2.354543987272946567e-04 1.575918852695869417e-04 1.746038349077511931e-01 -3.458903950706228303e-02 -1.126456984943940975e-01 -1.363554447029582083e-02 -3.451101418708647783e-02 1.175057674789437012e-01 1.005104119257036951e-02 6.080704999037295222e-02 1.126597265581423951e-01 -1.020581620175443037e-02 -1.695313582788157136e-01 -1.619536699590381004e-02 -1.371710712707958045e-02 6.082560009603110718e-02 1.619458454409340026e-02 -1.124333441667482031e-01
2.170000000000000241e-07 1.750000000000000000e+02 3.200000000000000000e+01 5.200000000000000000e+01 1.985310516230984559e-04 1.715200866262605651e-04 1.643886495841521134e-01 -1.199914174241207068e-02 -1.080212712886399057e-01 -1.360336508447720916e-02 -1.201008726672483928e-02 1.151950495573397931e-01 -8.613465681053811274e-06 4.359294434373207211e-02 1.080360848069464030e-01 -1.504609525221355984e-05 -1.606622178513630039e-01 -2.975649956263405962e-02 -1.347546579610334021e-02 4.358992831793463696e-02 2.970267410208143888e-02 -1.114686484889628043e-01
2.170000000000000241e-07 1.750000000000000000e+02 3.200000000000000000e+01 5.400000000000000000e+01 1.587280457494482451e-04 1.839521813738087433e-04 1.522296081630289122e-01 1.120537451075737968e-02 -9.727423491381136100e-02 -1.285803843473037021e-02 1.122819768991854990e-02 1.140273636652043981e-01 -7.363279388745606370e-03 2.214276696027406982e-02 9.725313823750933451e-02 7.333785428532718642e-03 -1.464414130371871070e-01 -3.714819361814149234e-02 -1.299696225949342060e-02 2.214099360607853922e-02 3.719756303132257247e-02 -1.082392072574799025e-01
