# wvl[m], pitch, AOI, Azimuth, Transm_Pol-1, Transm_Pol-2, m11, m12, m13, m14, m21, m22, m23, m24, m31, m32, m33, m34, m41, m42, m43, m44
2.130000000000000147e-07 1.750000000000000000e+02 3.000000000000000000e+01 3.000000000000000000e+01 5.156634018816390504e-04 1.054975369891250647e-04 2.702116522083432004e-01 -1.784265382713149106e-01 1.289231509366492998e-04 -1.528761650754150120e-04 -1.784266333440928942e-01 2.702114630271477136e-01 -1.240576635329369913e-04 2.842222876689875252e-04 -4.144120355158101168e-05 -1.370738081534117925e-04 -1.890168739777114137e-01 7.383001907906677763e-02 -6.593864550090018629e-05 2.084618944413177866e-04 -7.383014303078289098e-02 -1.890167672694001988e-01
2.130000000000000147e-07 1.750000000000000000e+02 3.000000000000000000e+01 3.200000000000000000e+01 5.127101585135732413e-04 1.073979078016288469e-04 2.697536413853824921e-01 -1.763151641895868982e-01 -2.215020332528529895e-02 1.093327544986488938e-03 -1.763089956114246015e-01 2.685963185727825997e-01 9.448421760868097943e-03 6.306342354077290428e-03 2.219621510862243921e-02 -9.593091633784415345e-03 -1.903395699768954952e-01 7.320966947108156764e-02 1.153298320264934014e-03 6.260224457281799229e-03 -7.321454759534604118e-02 -1.891822738846566931e-01
2.130000000000000147e-07 1.750000000000000000e+02 3.000000000000000000e+01 3.400000000000000000e+01 5.062687622211302189e-04 1.117804301804805695e-04 2.688580092117118236e-01 -1.716066437973415015e-01 -4.424057706471253709e-02 2.212397375199185150e-03 -1.715625505016440122e-01 2.642418753883231108e-01 1.825124331099934119e-02 1.226775057728426988e-02 4.442115692301851909e-02 -1.864943941330127891e-02 -1.941487062273438979e-01 6.932087003875707365e-02 2.003906071556414183e-03 1.228557922736494938e-02 -6.931137141625952347e-02 -1.895327927713877092e-01
2.130000000000000147e-07 1.750000000000000000e+02 3.000000000000000000e+01 3.600000000000000000e+01 4.953417316779792174e-04 1.206687088032250342e-04 2.679711303202967909e-01 -1.629867723700272886e-01 -6.496343062076789798e-02 2.879592446057439945e-03 -1.629642986525250137e-01 2.580875388037592866e-01 2.548942474833491151e-02 1.771365355848614903e-02 6.501618744417583806e-02 -2.566995866046481098e-02 -2.009057605340495989e-01 6.496408687301798157e-02 2.959742081371511974e-03 1.765963904078622984e-02 -6.498239203905227523e-02 -1.910222115197182102e-01
2.130000000000000147e-07 1.750000000000000000e+02 3.000000000000000000e+01 3.800000000000000000e+01 4.798578706712944850e-04 1.323770469985196152e-04 2.663287375151878744e-01 -1.511578748754378865e-01 -8.414152897369861495e-02 3.983269715409633663e-03 -1.511302475456771932e-01 2.500182905879642092e-01 3.016960013243099106e-02 2.018988054588452888e-02 8.418936081772313007e-02 -3.032933271241447862e-02 -2.092458566113583884e-01 5.805843174779312665e-02 4.020730580573086271e-03 2.015735695641670058e-02 -5.807231328936100778e-02 -1.929354389895059085e-01
2.130000000000000147e-07 1.750000000000000000e+02 3.000000000000000000e+01 4.000000000000000000e+01 4.589174251600410003e-04 1.472759705872327249e-04 2.637006108601049892e-01 -1.355673659870136050e-01 -1.012498288553592973e-01 5.072702605719146829e-03 -1.355393525837216007e-01 2.403909365042594115e-01 3.217624427888574751e-02 2.073751050379697008e-02 1.012930531419257013e-01 -3.227936145303893917e-02 -2.180637196679831025e-01 5.048545231975618691e-02 4.957031570921602293e-03 2.076035847031963005e-02 -5.046456781027988669e-02 -1.947540715011386869e-01
2.130000000000000147e-07 1.750000000000000000e+02 3.000000000000000000e+01 4.200000000000000000e+01 4.339071254499895125e-04 1.638588410652168370e-04 2.600345890062428222e-01 -1.174738920838997031e-01 -1.159553014014538946e-01 5.895395148327689863e-03 -1.174165101252800936e-01 2.297844069032947967e-01 3.144727833040002890e-02 1.828432199892493157e-02 1.160165352816022039e-01 -3.166300253408241977e-02 -2.259812284479751077e-01 4.156031363773585868e-02 5.833491205907009869e-03 1.828060412613327981e-02 -4.155321346304532287e-02 -1.957311016026236083e-01
2.130000000000000147e-07 1.750000000000000000e+02 3.000000000000000000e+01 4.400000000000000000e+01 4.058269072686335665e-04 1.834889753820586927e-04 2.563587121449573125e-01 -9.671937844784064819e-02 -1.266567567456109988e-01 6.407739528124956063e-03 -9.672512062897511975e-02 2.205955003065100950e-01 2.801975375118077871e-02 1.379947734665249066e-02 1.266424581473060973e-01 -2.802017879668843026e-02 -2.332225059051666882e-01 3.380240368990918703e-02 6.600769366658324616e-03 1.375830520689316945e-02 -3.385628654270662202e-02 -1.974593351191865076e-01
2.130000000000000147e-07 1.750000000000000000e+02 3.000000000000000000e+01 4.600000000000000000e+01 3.708129624647705201e-04 2.036322695220888423e-04 2.498898200530103864e-01 -7.272538955765926738e-02 -1.327702585867437113e-01 7.318213571236935854e-03 -7.261258298381857712e-02 2.103771893160882034e-01 2.167028364772101076e-02 4.343534783977135404e-03 1.328337867091541891e-01 -2.204876253087825061e-02 -2.364470329305400909e-01 2.694271043235463986e-02 7.285465139804217331e-03 4.326041768244868850e-03 -2.693664891759547930e-02 -1.969345636874353100e-01
2.130000000000000147e-07 1.750000000000000000e+02 3.000000000000000000e+01 4.800000000000000000e+01 3.341066593689010888e-04 2.248659731100797218e-04 2.431590737755925102e-01 -4.752086693672599726e-02 -1.345880678898360994e-01 7.424406547176268419e-03 -4.747784576359669051e-02 2.017221619832778867e-01 1.411856688713336062e-02 -7.874884525297137783e-03 1.345987268181768060e-01 -1.425400893072142038e-02 -2.369573459345757083e-01 2.153808794224863071e-02 7.505966019697948334e-03 -7.890368983912088990e-03 -2.156067784425213033e-02 -1.955204626328715112e-01
