# wvl[m], pitch, AOI, Azimuth, Transm_Pol-1, Transm_Pol-2, m11, m12, m13, m14, m21, m22, m23, m24, m31, m32, m33, m34, m41, m42, m43, m44
2.160000000000000019e-07 1.750000000000000000e+02 3.200000000000000000e+01 0.000000000000000000e+00 4.497970758245988681e-05 2.343015756130118366e-04 1.240657526844191061e-01 8.410287931966763109e-02 1.961232601138194055e-04 -6.028182370179657745e-06 8.410287682181795399e-02 1.240654294105475036e-01 1.415302756475242917e-04 1.458172970734005912e-04 -1.873642054121889982e-04 -8.563474211933680847e-05 -8.048342943017072759e-02 4.291181116913916210e-02 6.176956663927940018e-05 1.854193805539097089e-04 -4.291170235837395153e-02 -8.048312502916196709e-02
2.160000000000000019e-07 1.750000000000000000e+02 3.200000000000000000e+01 2.000000000000000000e+00 7.913579475590420194e-05 2.036152471778146012e-04 1.256071314140229100e-01 5.529778716914404701e-02 4.468923250790476226e-02 6.038096700021493637e-03 5.526236813367223222e-02 1.129328056066906949e-01 1.164369057716213053e-02 2.915913753247025009e-02 -4.473255125155421730e-02 -1.181949125921025016e-02 -1.118698413753804050e-01 5.670929451586964772e-03 6.041598008300216871e-03 2.915555508526810127e-02 -5.693034769556195272e-03 -9.919558433533068320e-02
2.160000000000000019e-07 1.750000000000000000e+02 3.200000000000000000e+01 4.000000000000000000e+00 1.198536851296775658e-04 2.047444398574018614e-04 1.441969552549166866e-01 3.771121093665284751e-02 7.631668807550419376e-02 6.807595135809202912e-03 3.775035118380894866e-02 1.205198548774347039e-01 1.024111906286606991e-02 1.718194748263434171e-02 -7.630298913462571497e-02 -1.012291283667813083e-02 -1.378792525203154096e-01 -1.445789594483713920e-02 6.743922840299125705e-03 1.716603886936762108e-02 1.444694873410705925e-02 -1.142021870246719972e-01
2.160000000000000019e-07 1.750000000000000000e+02 3.200000000000000000e+01 6.000000000000000000e+00 1.641634454927196388e-04 1.991100806750379217e-04 1.613778157227279964e-01 1.552442236040403947e-02 9.994630066135531954e-02 7.127034648417964260e-03 1.549628196673056950e-02 1.263417325452468043e-01 5.601553504728815601e-03 -2.873682243424784035e-03 -9.994663678678937513e-02 -5.683511346603289938e-03 -1.590078247917947885e-01 -2.086321254721076879e-02 7.183339655841008628e-03 -2.864626486531928785e-03 2.088375800114421893e-02 -1.239717589392771990e-01
2.160000000000000019e-07 1.750000000000000000e+02 3.200000000000000000e+01 8.000000000000000000e+00 2.072631404267475796e-04 1.870429519147481464e-04 1.751634824026506998e-01 -8.982459828524330669e-03 1.146139528652869999e-01 7.315435351373818403e-03 -9.020278180424307068e-03 1.301367056936598987e-01 -2.085472188438055197e-03 -2.351895517389218995e-02 -1.146041152987943984e-01 1.963241669190006044e-03 -1.738665025079541016e-01 -1.767414575830035875e-02 7.422244167756403971e-03 -2.351500148814517077e-02 1.772386808446146933e-02 -1.288397691347250018e-01
2.160000000000000019e-07 1.750000000000000000e+02 3.200000000000000000e+01 1.000000000000000000e+01 2.464075399905691060e-04 1.727875915637542919e-04 1.862199962807047915e-01 -3.270435529962859023e-02 1.213813099013894004e-01 7.003383133783912945e-03 -3.272787766115867192e-02 1.342560842124136955e-01 -1.163233900871427952e-02 -4.167671901511744298e-02 -1.213655361190256049e-01 1.151541074957606985e-02 -1.826763422842823115e-01 -7.223920880549052070e-03 7.165004577652540375e-03 -4.169072334834011268e-02 7.301194609436564148e-03 -1.307124929954698034e-01
2.160000000000000019e-07 1.750000000000000000e+02 3.200000000000000000e+01 1.200000000000000000e+01 2.820664928853887864e-04 1.563439414383805716e-04 1.947560534552980060e-01 -5.585001184544678698e-02 1.222917376510200965e-01 7.014485589302010826e-03 -5.579508276781842968e-02 1.393117518786901876e-01 -2.207942271403535994e-02 -5.499136814747219298e-02 -1.223147926230818000e-01 2.220931997108790967e-02 -1.850197350295436916e-01 6.447998061776757245e-03 7.049551292797790608e-03 -5.499481927060544117e-02 -6.456800173166448581e-03 -1.295754613609572947e-01
2.160000000000000019e-07 1.750000000000000000e+02 3.200000000000000000e+01 1.400000000000000000e+01 3.134941826978667541e-04 1.399538314340205154e-04 2.014362313608842880e-01 -7.709222062546240706e-02 1.184959534179459983e-01 6.726580077728686567e-03 -7.711100061716513743e-02 1.464635963826793064e-01 -3.220443964185573660e-02 -6.327876726143416564e-02 -1.184841596998049001e-01 3.215642951982555786e-02 -1.817759614717887884e-01 2.255586263596917954e-02 6.719063996255086185e-03 -6.328030044250501640e-02 -2.254932022765738023e-02 -1.268033300907482064e-01
2.160000000000000019e-07 1.750000000000000000e+02 3.200000000000000000e+01 1.600000000000000000e+01 3.401668616127223946e-04 1.251836154640050209e-04 2.067236892497699985e-01 -9.550249104703636971e-02 1.103973712622828007e-01 6.006092209886935290e-03 -9.552449671289195421e-02 1.562802855437407934e-01 -4.003366199959149802e-02 -6.700009630672815186e-02 -1.103835358436102976e-01 4.002628948561620659e-02 -1.742537188851061014e-01 4.010446067025324329e-02 5.909658522818231341e-03 -6.697312499921133366e-02 -4.013517308827013741e-02 -1.238103293286192952e-01
2.160000000000000019e-07 1.750000000000000000e+02 3.200000000000000000e+01 1.800000000000000000e+01 3.636998183044848169e-04 1.113142158047422794e-04 2.110165529287396091e-01 -1.121178239464235005e-01 9.905109724806937521e-02 5.617421222539806941e-03 -1.121284396155829977e-01 1.680229373566914097e-01 -4.490934344105169257e-02 -6.662682823425462864e-02 -9.903465052879725783e-02 4.482162681640842333e-02 -1.634535543141392988e-01 5.653957227619189202e-02 5.694976534869829882e-03 -6.666801792651107228e-02 -5.649876278312004896e-02 -1.204599594208310004e-01
